radioId	genreId
410422	32
410422	37
410424	2
410424	32
410424	37
410427	32
410427	37
410429	1
410429	32
410429	37
410429	96
410436	32
410436	37
410444	2
410444	32
410444	37
410453	32
410453	37
410478	16
410478	25
410478	85
410478	95
410482	16
410482	95
410492	16
410492	95
410496	16
410496	95
410509	16
410509	19
410509	41
410509	85
410515	16
410515	85
410517	16
410517	41
410517	57
410517	85
410535	16
410535	85
410536	16
410536	85
410569	85
410569	97
410583	1
410583	2
410583	85
410587	1
410587	2
410587	3
410587	31
410587	41
410587	44
410587	85
410588	1
410588	2
410588	25
410588	46
410588	85
410588	98
410597	1
410597	2
410597	85
410599	1
410599	85
410600	1
410600	2
410600	41
410600	85
410601	1
410601	2
410601	6
410601	33
410601	85
410603	1
410603	41
410603	85
410607	1
410607	2
410607	85
410608	1
410608	85
410615	1
410615	2
410615	85
410622	1
410622	85
410625	1
410625	2
410625	32
410625	41
410625	85
410626	1
410626	2
410626	41
410626	85
410634	1
410634	2
410634	6
410634	23
410634	25
410634	28
410634	29
410634	41
410634	44
410634	49
410634	85
410638	1
410638	2
410638	85
410645	1
410645	2
410645	85
410646	1
410646	2
410646	85
410648	1
410648	85
410649	1
410649	2
410649	16
410649	19
410649	31
410649	35
410649	45
410649	85
410649	91
410650	1
410650	2
410650	41
410650	85
410652	1
410652	2
410652	85
410656	1
410656	2
410656	6
410656	23
410656	41
410656	85
410657	1
410657	2
410657	44
410657	85
410665	1
410665	2
410665	32
410665	85
410668	1
410668	2
410668	85
410674	1
410674	2
410674	85
410677	1
410677	2
410677	21
410677	44
410677	85
410679	1
410679	2
410679	85
410682	1
410682	2
410682	85
410684	1
410684	2
410684	15
410684	21
410684	32
410684	33
410684	43
410684	44
410684	85
410687	1
410687	2
410687	7
410687	8
410687	10
410687	13
410687	33
410687	43
410687	85
410695	1
410695	2
410695	31
410695	85
410697	1
410697	2
410697	31
410697	32
410697	85
410697	102
410698	1
410698	85
410700	1
410700	41
410700	85
410704	1
410704	2
410704	31
410704	85
410706	1
410706	2
410706	85
410709	1
410709	2
410709	3
410709	31
410709	85
410710	1
410710	2
410710	85
410711	1
410711	2
410711	85
410712	1
410712	2
410712	13
410712	15
410712	21
410712	32
410712	33
410712	43
410712	44
410712	85
410716	1
410716	2
410716	13
410716	33
410716	43
410716	85
410719	1
410719	32
410719	85
410726	1
410726	2
410726	85
410728	1
410728	2
410728	32
410728	85
410729	1
410729	2
410729	6
410729	85
410731	1
410731	2
410731	11
410731	19
410731	83
410731	85
410733	1
410733	2
410733	31
410733	32
410733	41
410733	85
410734	1
410734	2
410734	41
410734	85
410737	1
410737	2
410737	6
410737	85
410742	1
410742	2
410742	15
410742	21
410742	32
410742	36
410742	37
410742	44
410742	85
410743	1
410743	2
410743	29
410743	85
410749	1
410749	2
410749	85
410793	85
410808	85
410816	85
410816	98
410849	2
410849	14
410849	45
410849	85
410895	85
410903	85
410905	15
410905	44
410905	85
410916	44
410916	85
410918	44
410918	85
410923	44
410923	85
410923	114
410949	41
410949	44
410949	85
410957	21
410957	33
410957	43
410957	44
410957	85
410968	16
410968	53
410968	85
410989	85
410989	93
411006	85
411006	93
411008	85
411008	93
411009	3
411009	41
411009	85
411012	41
411012	84
411012	85
411012	91
411028	1
411028	3
411028	31
411028	41
411028	85
411028	91
411057	3
411057	41
411057	85
411078	1
411078	30
411078	38
411078	45
411078	85
411099	13
411099	33
411099	41
411099	43
411099	50
411099	63
411099	85
411104	13
411104	18
411104	19
411104	33
411104	41
411104	43
411104	84
411104	85
411105	13
411105	18
411105	19
411105	33
411105	41
411105	43
411105	85
411113	13
411113	18
411113	19
411113	33
411113	41
411113	43
411113	84
411113	85
411121	13
411121	18
411121	19
411121	33
411121	41
411121	43
411121	85
411122	18
411122	19
411122	33
411122	41
411122	43
411122	84
411122	85
411127	18
411127	19
411127	33
411127	41
411127	43
411127	65
411127	85
411128	18
